"genotype","it2010","it2011","sw2010","sw2011"
434,750.18461526,537.9375,1305.24,NA
435,427.3571428567,479.168067393901,1937.62962958834,722.380952478219
436,341.517857143313,NA,253.75,NA
438,380.799999888,251.632653068711,1608.125,621.09090898
439,191.615384619,320.324074107987,2426.52,1278.861538352
440,225.94,256.80000000024,1835.4,577.92
442,318.4615386,115.5,1039.772727375,658.904761807593
444,247.238095250386,253.125,1859.066666472,637.5000000005
445,408.8,421.048128407827,963.111111000689,888.525640938936
447,471.892857057188,229.36,2787.70370351775,1064.00000007
448,790.892307744,NA,NA,NA
449,99.818181828,182.7,715.95,192.4
450,330.42307683,253.44,1148.325,833.14285704
452,518.5833332925,341.38235307,1492.291666775,1166.40909097
454,489.10714272375,326.9999999997,2047.5,812
455,374.59090903,328.925,1732.2857142837,NA
456,345.58333333285,210.7333333406,1721.23809508504,837.375
457,421.07692326,296.84375,2171.14285724,622.11428571374
458,214.4,374.168067347951,1300.6428570025,NA
459,235.8363636342,372.11111097876,2777.599999872,1144.27777787466
460,401.14285722,293.445378037294,1339.5,NA
461,851.4,675.360000126,1299.44,NA
462,410.584615406,233.4765625,1224.9999998775,450.35714295
463,175.48,267.175926033702,1381.24999999875,692.4999999
466,171.84375,139.63333333357,1122.94505502333,318.060606159612
469,183.6,204.294117640444,2344.9,242.66666666632
470,1009.96875,462.109375,1367.61111099534,777.6923076
