year,site,tray,pos,genotype,fruit_per_plant,nseeds,mean_mass_ug,total_mass_mg,Comment
2011,sweden,3,118,italy,12,19,33.1578947368,630,
2011,sweden,3,135,italy,0,,,,
2011,sweden,3,152,italy,0,,,,
2011,sweden,3,158,sweden,23,33,30.9090909091,1020,1 tomt fröskal
2011,sweden,3,160,italy,0,,,,
2011,sweden,3,164,italy,0,,,,
2011,sweden,3,246,sweden,0,,,,
2011,sweden,4,14,italy,28,36,25.2777777778,910,
2011,sweden,4,25,sweden,5,22,30.4545454545,670,1 frö uppsprucket (g)
2011,sweden,4,66,sweden,11,,,,Skal saknas
2011,sweden,4,88,sweden,0,,,,
2011,sweden,4,89,sweden,7,,,,
2011,sweden,4,120,italy,0,,,,
2011,sweden,4,143,italy,0,,,,
2011,sweden,4,157,italy,16,29,30.3448275862,880,
2011,sweden,4,182,italy,0,,,,
2011,sweden,4,214,sweden,0,,,,
2011,sweden,4,215,sweden,0,,,,
2011,sweden,4,233,sweden,0,,,,
2011,sweden,4,234,italy,0,,,,
2011,sweden,4,239,italy,0,,,,
2011,sweden,4,245,sweden,0,,,,
2011,sweden,5,23,italy,24,31,25.4838709677,790,1 frö uppsprucket (ig)
2011,sweden,5,43,italy,19,14,32.8571428571,460,
2011,sweden,5,49,sweden,6,17,26.4705882353,450,
2011,sweden,5,80,italy,9,17,42.9411764706,730,
2011,sweden,5,86,italy,0,,,,
2011,sweden,5,95,italy,0,,,,
2011,sweden,5,108,sweden,8,14,35,490,
2011,sweden,5,162,italy,0,,,,
2011,sweden,5,196,sweden,12,24,26.6666666667,640,
2011,sweden,5,252,italy,0,,,,
2011,sweden,6,8,italy,0,,,,
2011,sweden,6,12,sweden,0,,,,
2011,sweden,6,58,italy,26,21,21.9047619048,460,
2011,sweden,6,83,sweden,0,,,,
